layered,分层
MVC,MVC模式
MVP,MVP模式
MVVM,MVVM模式
hexagonal,六边形
clean-architecture,整洁架构
onion-architecture,洋葱架构
serverless,无服务器
FaaS,函数即服务
BaaS,后端即服务
pipe-filter,管道过滤器
blackboard,黑板
peer-to-peer,对等
client-server,客户端服务器
three-tier,三层
n-tier,N层
presentation,表示层
business,业务层
data-access,数据访问层
anti-corruption,防腐层
adapter,适配器
SOLID,SOLID原则
SRP,单一职责
OCP,开闭原则
LSP,里氏替换
ISP,接口隔离
DIP,依赖倒置
DRY,不要重复
KISS,保持简单
YAGNI,不需要就别做
separation-of-concerns,关注点分离
loose-coupling,松耦合
high-cohesion,高内聚
composition-over-inheritance,组合优于继承
program-to-interface,面向接口编程
dependency-injection,依赖注入
inversion-of-control,控制反转
law-of-Demeter,迪米特法则
tell-dont-ask,告诉不要问
fail-fast,快速失败
defensive-programming,防御式编程
convention-over-configuration,约定优于配置
least-privilege,最小权限
defense-in-depth,纵深防御
single-source-of-truth,单一数据源
statelessness,无状态性
high-availability,高可用
HA,高可用
redundancy,冗余
fault-tolerance,容错
resilience,弹性
disaster-recovery,灾难恢复
hot-standby,热备份
cold-standby,冷备份
warm-standby,温备份
active-active,双活
active-passive,主备
multi-region,多区域
geo-redundancy,地理冗余
horizontal-scaling,水平扩展
vertical-scaling,垂直扩展
elasticity,弹性
auto-scaling,自动扩展
scale-out,横向扩展
scale-up,纵向扩展
capacity-planning,容量规划
load-shedding,负载削减
jitter,抖动
exponential-backoff,指数退避
