cluster,集群
peer,对等节点
leader,领导者
follower,跟随者
replica,副本
consensus,共识
Paxos,Paxos算法
Raft,Raft算法
quorum,法定人数
split-brain,脑裂
partition,分区
failback,故障恢复
circuit-breaker,熔断器
bulkhead,舱壁
backoff,退避
idempotency,幂等性
strong-consistency,强一致性
weak-consistency,弱一致性
causal-consistency,因果一致性
linearizability,线性一致性
serializability,可串行化
two-phase-commit,两阶段提交
three-phase-commit,三阶段提交
SAGA,Saga模式
compensation,补偿
orchestration,编排
choreography,协同
distributed-storage,分布式存储
object-storage,对象存储
block-storage,块存储
file-storage,文件存储
consistency-hash,一致性哈希
virtual-node,虚拟节点
gossip-protocol,Gossip协议
vector-clock,向量时钟
version-vector,版本向量
merkle-tree,默克尔树
LSM-tree,LSM树
write-ahead-log,预写日志
commit-log,提交日志
memtable,内存表
SSTable,有序字符串表
tombstone,墓碑标记
anti-entropy,反熵
read-repair,读修复
hinted-handoff,暗示移交
sloppy-quorum,宽松法定人数
erasure-coding,纠删码
replication-factor,复制因子
rack-awareness,机架感知
data-locality,数据本地性
hotspot,热点
cold-storage,冷存储
tiering,分层
deduplication,去重
MapReduce,MapReduce
mapper,映射器
reducer,归约器
combiner,合并器
partitioner,分区器
shuffle,洗牌
sort,排序
merge,合并
broadcast,广播
DAG,有向无环图
stage,阶段
task,任务
executor,执行器
driver,驱动器
worker,工作节点
batch,批处理
micro-batch,微批处理
window,窗口
tumbling-window,滚动窗口
session-window,会话窗口
watermark,水印
checkpoint,检查点
state,状态
exactly-once,恰好一次
at-least-once,至少一次
